states,total,youngest,young,middle,older,oldest,male,female,white,hispanicNotWhite,black,asian,hispanic,whiteMix,blackMix,asianMix
US,61.4,43,53.1,60.2,66.6,70.9,59.3,63.3,62.9,65.3,59.4,49,47.6,62.7,58.9,49.9
Alabama,57.4,42.7,54.5,55.8,59.4,66.9,54.9,59.6,56.2,57,60.8,B,B,56.3,60.2,B
Alaska,61.3,B,52.7,B,70.2,B,58.8,64,68.9,68.7,B,B,B,69,B,B
Arizona,60.4,40.2,51.7,52.6,68.7,72.2,56.5,64.2,62.8,68.3,50.9,51.6,47.4,62.2,49.1,47.7
Arkansas,58.7,34.5,47.1,58.3,64.8,67.3,57.4,59.8,59,60.2,58.8,B,B,58.8,59.3,B
California,57.9,42.7,51.9,54.6,62.1,69.2,56.3,59.4,60.3,67.1,48.4,51.9,47.2,60.5,49.3,52.8
Colorado,69.5,49,62.9,75.3,69.7,81.1,68.2,70.7,70.9,73,74.1,33.4,55.6,70.6,74.6,36.1
Connecticut,63.9,43.3,57.5,60.1,67.4,73.6,60.7,66.7,65.9,67.8,53.5,B,47.2,66.3,57.9,B
Delaware,62.3,B,B,61.1,66.8,70.5,59.7,64.5,64.7,66.3,56.5,B,B,64.4,55.5,B
District of Columbia,74.3,B,73.3,B,75.7,B,71,77.2,80,81.9,68,B,B,80.5,68.4,B
Florida,59.5,37.3,51.6,57.6,62.3,69.8,57.1,61.6,61.7,63.8,50.5,40.4,54.1,61.7,50.4,40
Georgia,60.2,43.5,54.4,55.5,64.9,72.4,57.5,62.7,62.6,63.8,59.7,31.3,47.9,62.2,59.3,30
Hawaii,47.3,21.7,34.3,46.6,54.6,60.3,45.2,49.3,58.7,61.3,B,43.6,B,54.6,B,44.8
Idaho,62.1,44.3,51.4,55.7,69.1,74.7,60.6,63.5,62.8,65.1,B,B,42.9,62.4,B,B
Illinois,63.8,46.8,54.5,60.9,71,73.2,62.1,65.3,65.3,67.8,58.7,51.3,49.2,65.3,59.7,52.4
Indiana,58.3,43,50.2,59.7,62,67.7,58.3,58.3,58.9,59.4,51.6,B,46,59,51.8,B
Iowa,63.4,37.6,59.5,60.2,66.2,78,60.6,66.1,64.5,64.8,B,B,B,64.2,B,B
